Model,Window,K,Accuracy,G-Mean,F1-Score General,Sensibilidad Promedio,Especificidad General,F1-Score_Música,Sensitivity_Música,Specificity_Música,F1-Score_Leer,Sensitivity_Leer,Specificity_Leer,F1-Score_Meditar,Sensitivity_Meditar,Specificity_Meditar,F1-Score_Matemáticas,Sensitivity_Matemáticas,Specificity_Matemáticas,Time(s)
StackingClassifier,2,50,0.5479166666666667,0.5377215579037152,0.9736095697465362,0.5479166666666667,0.8493055555555555,0.9844851904090267,0.5333333333333333,0.8546296296296296,0.9835616438356163,0.55,0.8407407407407408,0.963855421686747,0.7027777777777777,0.8759259259259259,0.962536023054755,0.40555555555555556,0.825925925925926,1940.533472299576
StackingClassifier,2,35,0.5291666666666667,0.5159999024593663,0.97219970327272,0.5291666666666667,0.8430555555555556,0.9795918367346939,0.5222222222222223,0.8268518518518518,0.9773371104815864,0.48333333333333334,0.8407407407407408,0.9663526244952892,0.7222222222222222,0.8861111111111111,0.9655172413793104,0.3888888888888889,0.8185185185185185,1514.7721564769745
VotingClassifier,1,33,0.5416666666666666,0.5292484381048339,0.862120525262543,0.5416666666666667,0.8472222222222223,0.9090909090909091,0.6111111111111112,0.8037037037037037,0.8044692737430168,0.5055555555555555,0.8388888888888889,0.8225352112676056,0.6722222222222223,0.9,0.9123867069486404,0.37777777777777777,0.8462962962962963,7.791582442124684
StackingClassifier,1,43,0.5375,0.5261553420425832,0.9612878720741624,0.5375,0.8458333333333334,0.989010989010989,0.5444444444444444,0.8407407407407408,0.9442815249266863,0.4777777777777778,0.8611111111111112,0.9375,0.7166666666666667,0.8611111111111112,0.9743589743589743,0.4111111111111111,0.8203703703703704,1839.667094707489
CatBoost,3,35,0.5625,0.5556619019705791,0.9072989474762213,0.5625,0.8541666666666666,0.9448818897637796,0.5814814814814815,0.821604938271605,0.8696444849589792,0.5481481481481482,0.8388888888888889,0.8703878902554399,0.6814814814814815,0.9080246913580247,0.9442815249266863,0.4388888888888889,0.8481481481481481,36.6662859916687
StackingClassifier,2,37,0.5263888888888889,0.5156917175044863,0.9716750974034429,0.5263888888888889,0.8421296296296297,0.9901823281907433,0.5055555555555555,0.8416666666666667,0.9514285714285715,0.4888888888888889,0.8481481481481481,0.9549071618037135,0.7055555555555556,0.8703703703703703,0.9901823281907433,0.40555555555555556,0.8083333333333333,1588.405833721161
ExtraTrees,3,38,0.5356481481481481,0.527352737215189,0.9201982976601419,0.5356481481481481,0.8452160493827161,0.9684813753581661,0.5,0.8537037037037037,0.8775710088148875,0.45185185185185184,0.8537037037037037,0.8764444444444444,0.7055555555555556,0.8740740740740741,0.9582963620230701,0.48518518518518516,0.7993827160493827,8.461080312728882
VotingClassifier,3,45,0.5523148148148148,0.5418293906115266,0.8087827220321036,0.5523148148148148,0.8507716049382716,0.8881578947368421,0.6333333333333333,0.7938271604938272,0.7305605786618443,0.5277777777777778,0.8265432098765432,0.7332686711930165,0.6537037037037037,0.9148148148148149,0.8831437435367114,0.39444444444444443,0.8679012345679012,107.87547442913056
VotingClassifier,2,39,0.5506944444444445,0.5345736245460575,0.7874587991109522,0.5506944444444444,0.8502314814814814,0.8643457382953181,0.65,0.7787037037037037,0.6977401129943502,0.49166666666666664,0.8416666666666667,0.7306064880112835,0.6916666666666667,0.9074074074074074,0.8571428571428571,0.36944444444444446,0.8731481481481481,264.42533021767935
StackingClassifier,4,50,0.5496527777777778,0.542027491651811,0.9607317604766321,0.5496527777777778,0.8498842592592593,0.972972972972973,0.5513888888888889,0.8319444444444445,0.959774170783345,0.49444444444444446,0.8421296296296297,0.9506423258958755,0.7013888888888888,0.8824074074074074,0.9595375722543353,0.4513888888888889,0.8430555555555556,7781.786464929581
VotingClassifier,2,43,0.55625,0.5421719166425625,0.8170502197896417,0.55625,0.8520833333333334,0.876979293544458,0.6472222222222223,0.7888888888888889,0.7378917378917379,0.5055555555555555,0.8518518518518519,0.7748251748251749,0.6888888888888889,0.9009259259259259,0.8785046728971964,0.38333333333333336,0.8666666666666667,152.20784548918405
TabNet,2,30,0.3701388888888889,0.36375823336028734,0.889861490561554,0.3701388888888889,0.7900462962962963,0.8871715610510047,0.26666666666666666,0.8231481481481482,0.8812729498164014,0.4388888888888889,0.7231481481481481,0.8679245283018869,0.3638888888888889,0.8657407407407407,0.923076923076923,0.4111111111111111,0.7481481481481481,364.5845246315002
HistGradientBoosting,4,38,0.5486111111111112,0.539562443466047,0.9676419534074467,0.5486111111111112,0.8495370370370371,0.9504950495049505,0.5847222222222223,0.8268518518518518,0.9395484340859432,0.4486111111111111,0.8472222222222222,0.9875173370319003,0.6986111111111111,0.8986111111111111,0.993006993006993,0.4625,0.825462962962963,42.88892793655396
VotingClassifier,1,41,0.5666666666666667,0.5568632919452253,0.8928760155587833,0.5666666666666667,0.8555555555555556,0.9399477806788512,0.6055555555555555,0.825925925925926,0.8626373626373628,0.5444444444444444,0.8407407407407408,0.85,0.7,0.9,0.9189189189189189,0.4166666666666667,0.8555555555555555,187.6191992680232
VotingClassifier,4,50,0.559375,0.5482618427702989,0.7978670909856082,0.559375,0.8531249999999999,0.8796579108124618,0.6305555555555555,0.7856481481481481,0.7164383561643836,0.5333333333333333,0.8351851851851851,0.7247838616714696,0.6763888888888889,0.9162037037037037,0.8705882352941177,0.3972222222222222,0.875462962962963,137.51088787714642
VotingClassifier,1,45,0.5597222222222222,0.5497910062889696,0.9040423359609331,0.5597222222222222,0.8532407407407407,0.9375,0.6055555555555555,0.8240740740740741,0.8666666666666667,0.5444444444444444,0.8481481481481481,0.8739495798319329,0.6833333333333333,0.9,0.9380530973451328,0.40555555555555556,0.8407407407407408,455.4073247273763
GaussianNB,1,28,0.2722222222222222,0.20061586235613668,0.3747736019923025,0.27222222222222225,0.7574074074074074,0.5705229793977813,0.6055555555555555,0.36666666666666664,0.0,0.08333333333333333,0.8592592592592593,0.0,0.1111111111111111,0.9962962962962963,0.9285714285714286,0.28888888888888886,0.8074074074074075,0.0511386394500732
StackingClassifier,4,45,0.55625,0.5468791886164753,0.9740504993075991,0.55625,0.8520833333333333,0.9896907216494846,0.5402777777777777,0.8398148148148148,0.9758179231863442,0.4986111111111111,0.8486111111111111,0.9600000000000001,0.7333333333333333,0.8833333333333333,0.9706933523945676,0.4527777777777778,0.836574074074074,4074.404242515564
StackingClassifier,3,43,0.5523148148148148,0.5445014747595842,0.972197813642182,0.5523148148148148,0.8507716049382716,0.9859154929577464,0.524074074074074,0.8506172839506173,0.9448669201520913,0.5185185185185185,0.8567901234567902,0.9598572702943801,0.7129629629629629,0.8790123456790123,0.9981515711645101,0.4537037037037037,0.8166666666666667,1772.1201775074005
VotingClassifier,2,33,0.5520833333333334,0.5383143977291388,0.7663855301802243,0.5520833333333334,0.8506944444444444,0.8664259927797834,0.6416666666666667,0.7777777777777778,0.679399727148704,0.5444444444444444,0.8361111111111111,0.6791366906474819,0.6555555555555556,0.9083333333333333,0.8405797101449275,0.36666666666666664,0.8805555555555555,383.2675807476044
KNN,1,8,0.3597222222222222,0.35325017669715414,0.8866724251749529,0.3597222222222222,0.786574074074074,0.8866995073891626,0.43333333333333335,0.725925925925926,0.8387096774193548,0.26666666666666666,0.8481481481481481,0.8982035928143713,0.4111111111111111,0.8518518518518519,0.923076923076923,0.3277777777777778,0.7203703703703703,0.0647296905517578
VotingClassifier,4,39,0.55,0.5414636039955925,0.8393430621044793,0.55,0.8500000000000001,0.8955223880597014,0.6027777777777777,0.7898148148148149,0.7634854771784233,0.49444444444444446,0.8287037037037037,0.788447653429603,0.6763888888888889,0.9175925925925926,0.9099167297501893,0.4263888888888889,0.8638888888888889,195.26265111764272
StackingClassifier,1,35,0.5402777777777777,0.5299491603577307,0.9231482426886839,0.5402777777777779,0.8467592592592593,0.9915966386554621,0.5222222222222223,0.8462962962962963,0.8738461538461537,0.45555555555555555,0.8833333333333333,0.8645833333333334,0.7277777777777777,0.8648148148148148,0.9625668449197862,0.45555555555555555,0.7925925925925926,1572.7871522903442
SVM,3,46,0.4935185185185185,0.4824027069428101,0.8949304366813664,0.4935185185185186,0.8311728395061728,0.9129332206255283,0.5574074074074075,0.7888888888888889,0.8560235063663075,0.43333333333333335,0.8475308641975309,0.8896860986547085,0.6240740740740741,0.8530864197530864,0.9210789210789212,0.3592592592592593,0.8351851851851851,40.35493350028992
VotingClassifier,4,35,0.5465277777777777,0.5394911231524672,0.8435412272516919,0.5465277777777778,0.8488425925925926,0.90282131661442,0.6111111111111112,0.7986111111111112,0.7702794819359235,0.49583333333333335,0.8194444444444444,0.7854014598540147,0.6472222222222223,0.9148148148148149,0.9156626506024096,0.43194444444444446,0.8625,173.41235977013906
HistGradientBoosting,3,33,0.5523148148148148,0.5428162522694749,0.9351423777662586,0.5523148148148147,0.8507716049382716,0.9694793536804309,0.5388888888888889,0.8253086419753086,0.9183303085299455,0.5351851851851852,0.8314814814814815,0.9013035381750464,0.7129629629629629,0.9080246913580247,0.9514563106796117,0.4222222222222222,0.8382716049382716,67.69179153442383
TabNet,4,32,0.3920138888888889,0.39036034084429294,0.9126836610397955,0.3920138888888889,0.797337962962963,0.9424083769633509,0.40694444444444444,0.7615740740740741,0.858695652173913,0.37777777777777777,0.7777777777777778,0.8804108584005869,0.44027777777777777,0.8490740740740741,0.9692197566213314,0.34305555555555556,0.8009259259259259,700.8568601608276
StackingClassifier,3,39,0.5444444444444444,0.5366014478444672,0.9837832680037171,0.5444444444444444,0.8481481481481482,0.9972299168975068,0.5314814814814814,0.8419753086419753,0.9694656488549619,0.5148148148148148,0.8580246913580247,0.9712230215827338,0.6962962962962963,0.8790123456790123,0.9972144846796658,0.4351851851851852,0.8135802469135802,1938.178968667984
SVM,4,50,0.4756944444444444,0.4650716562819156,0.9170383633863722,0.4756944444444445,0.8252314814814815,0.9284332688588008,0.5166666666666667,0.7875,0.8969072164948454,0.4111111111111111,0.8416666666666667,0.9158383035122598,0.6194444444444445,0.8412037037037037,0.9269746646795828,0.35555555555555557,0.8305555555555556,70.17713117599487
MLP,3,29,0.3509259259259259,0.3363628382164835,0.6340999820389106,0.3509259259259259,0.783641975308642,0.847385272145144,0.23703703703703705,0.8339506172839506,0.5359056806002144,0.2740740740740741,0.8487654320987654,0.3914728682170543,0.4,0.8296296296296296,0.7616361071932299,0.4925925925925926,0.6222222222222222,34.541088819503784
StackingClassifier,1,33,0.5180555555555556,0.5081280431564138,0.926234750639914,0.5180555555555555,0.8393518518518518,0.9504373177842567,0.48333333333333334,0.8592592592592593,0.867816091954023,0.4666666666666667,0.8444444444444444,0.9057591623036649,0.7,0.8592592592592593,0.9809264305177112,0.4222222222222222,0.7944444444444444,2715.923295259476
XGBoost,3,35,0.5564814814814815,0.5430922542817801,0.7832773549750345,0.5564814814814815,0.8521604938271605,0.8933002481389578,0.6092592592592593,0.7901234567901234,0.7255075022065313,0.5703703703703704,0.8240740740740741,0.6806083650190115,0.6759259259259259,0.9092592592592592,0.8336933045356372,0.37037037037037035,0.8851851851851852,290.2425096035004
StackingClassifier,3,37,0.5472222222222223,0.5399541330080289,0.9657328217803934,0.5472222222222223,0.849074074074074,0.9849624060150376,0.5296296296296297,0.8530864197530864,0.9529190207156308,0.512962962962963,0.8487654320987654,0.9467889908256881,0.6981481481481482,0.8932098765432098,0.9782608695652174,0.44814814814814813,0.8012345679012346,1815.0580084323883
CatBoost,4,42,0.5666666666666667,0.5588227440169199,0.9054131358412532,0.5666666666666667,0.8555555555555556,0.9587217043941412,0.5666666666666667,0.8268518518518518,0.8826291079812206,0.5597222222222222,0.8296296296296296,0.8525280898876405,0.7027777777777777,0.9083333333333333,0.9277736411020104,0.4375,0.8574074074074074,28.34265923500061
CatBoost,1,41,0.5416666666666666,0.5330473606052888,0.9332707544472691,0.5416666666666667,0.8472222222222223,0.9473684210526316,0.5611111111111111,0.8166666666666667,0.903954802259887,0.5277777777777778,0.8537037037037037,0.9222222222222223,0.6722222222222223,0.8907407407407407,0.9595375722543353,0.40555555555555556,0.8277777777777777,121.38090348243712
VotingClassifier,1,37,0.5486111111111112,0.5384499321605125,0.9305060451098381,0.5486111111111112,0.849537037037037,0.9523809523809523,0.5888888888888889,0.8296296296296296,0.902506963788301,0.5222222222222223,0.8425925925925926,0.9106145251396648,0.6833333333333333,0.8981481481481481,0.9565217391304348,0.4,0.8277777777777777,182.57111353874205
MLP,2,17,0.37430555555555556,0.36941422257633755,0.9089989564077026,0.37430555555555556,0.7914351851851852,0.9504373177842567,0.3416666666666667,0.812037037037037,0.8856088560885608,0.4638888888888889,0.7351851851851852,0.8587731811697575,0.39166666666666666,0.8148148148148148,0.9411764705882353,0.3,0.8037037037037037,20.64032220840454
VotingClassifier,2,45,0.5576388888888889,0.5457483182629708,0.8185129381618576,0.5576388888888889,0.8525462962962963,0.8759124087591241,0.6472222222222223,0.787962962962963,0.7298444130127298,0.5055555555555555,0.8472222222222222,0.7742857142857144,0.6777777777777778,0.9111111111111111,0.8940092165898618,0.4,0.8638888888888889,167.02212392489116
StackingClassifier,4,39,0.5479166666666667,0.53907758021427,0.9721743993580999,0.5479166666666667,0.8493055555555555,0.9965156794425087,0.5208333333333334,0.8425925925925926,0.9469862018881626,0.4736111111111111,0.8537037037037037,0.9500333111259162,0.725,0.8800925925925925,0.9951624049758121,0.4722222222222222,0.8208333333333333,1804.200556755066
