Model,Window,K,Accuracy,Balanced Accuracy,G-Mean,F1-Score_Música,Sensitivity_Música,Specificity_Música,F1-Score_Leer,Sensitivity_Leer,Specificity_Leer,F1-Score_Meditar,Sensitivity_Meditar,Specificity_Meditar,F1-Score_Matemáticas,Sensitivity_Matemáticas,Specificity_Matemáticas,Time(s)
StackingClassifier,2,50,0.5479166666666667,0.9736111111111112,0.5377215579037152,0.9844851904090267,0.5333333333333333,0.5501432664756447,0.9835616438356163,0.55,0.5351351351351351,0.963855421686747,0.7027777777777777,0.6537467700258398,0.962536023054755,0.40555555555555556,0.437125748502994,1940.533472299576
StackingClassifier,2,35,0.5291666666666667,0.9722222222222223,0.5159999024593663,0.9795918367346939,0.5222222222222223,0.5013333333333333,0.9773371104815864,0.48333333333333334,0.5028901734104047,0.9663526244952892,0.7222222222222222,0.6788511749347258,0.9655172413793104,0.3888888888888889,0.4166666666666667,1514.7721564769745
VotingClassifier,1,33,0.5416666666666666,0.8625,0.5292484381048339,0.9090909090909091,0.6111111111111112,0.5092592592592593,0.8044692737430168,0.5055555555555555,0.5112359550561798,0.8225352112676056,0.6722222222222223,0.6914285714285714,0.9123867069486404,0.37777777777777777,0.4503311258278146,7.791582442124684
StackingClassifier,1,43,0.5375,0.961111111111111,0.5261553420425832,0.989010989010989,0.5444444444444444,0.532608695652174,0.9442815249266863,0.4777777777777778,0.5341614906832298,0.9375,0.7166666666666667,0.6323529411764706,0.9743589743589743,0.4111111111111111,0.4327485380116959,1839.667094707489
CatBoost,3,35,0.5625,0.9074074074074073,0.5556619019705791,0.9448818897637796,0.5814814814814815,0.5207296849087893,0.8696444849589792,0.5481481481481482,0.5314183123877917,0.8703878902554399,0.6814814814814815,0.7117988394584139,0.9442815249266863,0.4388888888888889,0.4906832298136646,36.6662859916687
StackingClassifier,2,37,0.5263888888888889,0.9715277777777778,0.5156917175044863,0.9901823281907433,0.5055555555555555,0.5155807365439093,0.9514285714285715,0.4888888888888889,0.5176470588235295,0.9549071618037135,0.7055555555555556,0.6446700507614214,0.9901823281907433,0.40555555555555556,0.41359773371104813,1588.405833721161
ExtraTrees,3,38,0.5356481481481481,0.9203703703703704,0.527352737215189,0.9684813753581661,0.5,0.5325443786982249,0.8775710088148875,0.45185185185185184,0.5072765072765073,0.8764444444444444,0.7055555555555556,0.6512820512820513,0.9582963620230701,0.48518518518518516,0.4463373083475298,8.461080312728882
VotingClassifier,3,45,0.5523148148148148,0.8097222222222221,0.5418293906115266,0.8881578947368421,0.6333333333333333,0.5059171597633136,0.7305605786618443,0.5277777777777778,0.5035335689045937,0.7332686711930165,0.6537037037037037,0.7189409368635438,0.8831437435367114,0.39444444444444443,0.49882903981264637,107.87547442913056
VotingClassifier,2,39,0.5506944444444445,0.7888888888888889,0.5345736245460575,0.8643457382953181,0.65,0.49471458773784355,0.6977401129943502,0.49166666666666664,0.5086206896551724,0.7306064880112835,0.6916666666666667,0.7134670487106017,0.8571428571428571,0.36944444444444446,0.4925925925925926,264.42533021767935
StackingClassifier,4,50,0.5496527777777778,0.960763888888889,0.542027491651811,0.972972972972973,0.5513888888888889,0.5223684210526316,0.959774170783345,0.49444444444444446,0.5107604017216643,0.9506423258958755,0.7013888888888888,0.6653491436100132,0.9595375722543353,0.4513888888888889,0.4894578313253012,7781.786464929581
VotingClassifier,2,43,0.55625,0.8180555555555555,0.5421719166425625,0.876979293544458,0.6472222222222223,0.5054229934924078,0.7378917378917379,0.5055555555555555,0.5321637426900585,0.7748251748251749,0.6888888888888889,0.6985915492957746,0.8785046728971964,0.38333333333333336,0.48936170212765956,152.20784548918405
TabNet,2,30,0.3701388888888889,0.8909722222222223,0.36375823336028734,0.8871715610510047,0.26666666666666666,0.3344947735191638,0.8812729498164014,0.4388888888888889,0.34573304157549234,0.8679245283018869,0.3638888888888889,0.4746376811594203,0.923076923076923,0.4111111111111111,0.3523809523809524,364.5845246315002
HistGradientBoosting,4,38,0.5486111111111112,0.9677083333333334,0.539562443466047,0.9504950495049505,0.5847222222222223,0.529559748427673,0.9395484340859432,0.4486111111111111,0.4946401225114854,0.9875173370319003,0.6986111111111111,0.6966759002770083,0.993006993006993,0.4625,0.46901408450704224,42.88892793655396
VotingClassifier,1,41,0.5666666666666667,0.8930555555555556,0.5568632919452253,0.9399477806788512,0.6055555555555555,0.5369458128078818,0.8626373626373628,0.5444444444444444,0.532608695652174,0.85,0.7,0.7,0.9189189189189189,0.4166666666666667,0.49019607843137253,187.6191992680232
VotingClassifier,4,50,0.559375,0.7989583333333333,0.5482618427702989,0.8796579108124618,0.6305555555555555,0.495092693565976,0.7164383561643836,0.5333333333333333,0.518918918918919,0.7247838616714696,0.6763888888888889,0.7290419161676647,0.8705882352941177,0.3972222222222222,0.5153153153153153,137.51088787714642
VotingClassifier,1,45,0.5597222222222222,0.9041666666666667,0.5497910062889696,0.9375,0.6055555555555555,0.5343137254901961,0.8666666666666667,0.5444444444444444,0.5444444444444444,0.8739495798319329,0.6833333333333333,0.6949152542372882,0.9380530973451328,0.40555555555555556,0.4591194968553459,455.4073247273763
GaussianNB,1,28,0.2722222222222222,0.4666666666666667,0.20061586235613668,0.5705229793977813,0.6055555555555555,0.24168514412416853,0.0,0.08333333333333333,0.16483516483516483,0.0,0.1111111111111111,0.9090909090909091,0.9285714285714286,0.28888888888888886,0.3333333333333333,0.0511386394500732
StackingClassifier,4,45,0.55625,0.9739583333333333,0.5468791886164753,0.9896907216494846,0.5402777777777777,0.5292517006802722,0.9758179231863442,0.4986111111111111,0.5233236151603499,0.9600000000000001,0.7333333333333333,0.676923076923077,0.9706933523945676,0.4527777777777778,0.4801178203240059,4074.404242515564
StackingClassifier,3,43,0.5523148148148148,0.9722222222222222,0.5445014747595842,0.9859154929577464,0.524074074074074,0.539047619047619,0.9448669201520913,0.5185185185185185,0.546875,0.9598572702943801,0.7129629629629629,0.6626506024096386,0.9981515711645101,0.4537037037037037,0.45202952029520294,1772.1201775074005
VotingClassifier,2,33,0.5520833333333334,0.7680555555555556,0.5383143977291388,0.8664259927797834,0.6416666666666667,0.49044585987261147,0.679399727148704,0.5444444444444444,0.5254691689008043,0.6791366906474819,0.6555555555555556,0.7044776119402985,0.8405797101449275,0.36666666666666664,0.5057471264367817,383.2675807476044
KNN,1,8,0.3597222222222222,0.888888888888889,0.35325017669715414,0.8866995073891626,0.43333333333333335,0.34513274336283184,0.8387096774193548,0.26666666666666666,0.36923076923076925,0.8982035928143713,0.4111111111111111,0.4805194805194805,0.923076923076923,0.3277777777777778,0.28095238095238095,0.0647296905517578
VotingClassifier,4,39,0.55,0.8399305555555555,0.5414636039955925,0.8955223880597014,0.6027777777777777,0.48873873873873874,0.7634854771784233,0.49444444444444446,0.4903581267217631,0.788447653429603,0.6763888888888889,0.7323308270676692,0.9099167297501893,0.4263888888888889,0.5108153078202995,195.26265111764272
StackingClassifier,1,35,0.5402777777777777,0.9236111111111112,0.5299491603577307,0.9915966386554621,0.5222222222222223,0.5310734463276836,0.8738461538461537,0.45555555555555555,0.5655172413793104,0.8645833333333334,0.7277777777777777,0.6421568627450981,0.9625668449197862,0.45555555555555555,0.422680412371134,1572.7871522903442
SVM,3,46,0.4935185185185185,0.8953703703703704,0.4824027069428101,0.9129332206255283,0.5574074074074075,0.4681181959564541,0.8560235063663075,0.43333333333333335,0.4864864864864865,0.8896860986547085,0.6240740740740741,0.5860869565217391,0.9210789210789212,0.3592592592592593,0.420824295010846,40.35493350028992
VotingClassifier,4,35,0.5465277777777777,0.8440972222222223,0.5394911231524672,0.90282131661442,0.6111111111111112,0.5028571428571429,0.7702794819359235,0.49583333333333335,0.4779116465863454,0.7854014598540147,0.6472222222222223,0.7169230769230769,0.9156626506024096,0.43194444444444446,0.5115131578947368,173.41235977013906
HistGradientBoosting,3,33,0.5523148148148148,0.9351851851851852,0.5428162522694749,0.9694793536804309,0.5388888888888889,0.5069686411149826,0.9183303085299455,0.5351851851851852,0.5142348754448398,0.9013035381750464,0.7129629629629629,0.7209737827715356,0.9514563106796117,0.4222222222222222,0.46530612244897956,67.69179153442383
TabNet,4,32,0.3920138888888889,0.9128472222222223,0.39036034084429294,0.9424083769633509,0.40694444444444444,0.3626237623762376,0.858695652173913,0.37777777777777777,0.3617021276595745,0.8804108584005869,0.44027777777777777,0.49300155520995337,0.9692197566213314,0.34305555555555556,0.36484490398818314,700.8568601608276
StackingClassifier,3,39,0.5444444444444444,0.9837962962962963,0.5366014478444672,0.9972299168975068,0.5314814814814814,0.5285451197053407,0.9694656488549619,0.5148148148148148,0.547244094488189,0.9712230215827338,0.6962962962962963,0.6573426573426573,0.9972144846796658,0.4351851851851852,0.4376163873370577,1938.178968667984
SVM,4,50,0.4756944444444444,0.9173611111111111,0.4650716562819156,0.9284332688588008,0.5166666666666667,0.44765342960288806,0.8969072164948454,0.4111111111111111,0.46394984326018807,0.9158383035122598,0.6194444444444445,0.5652724968314322,0.9269746646795828,0.35555555555555557,0.4115755627009646,70.17713117599487
MLP,3,29,0.3509259259259259,0.6430555555555555,0.3363628382164835,0.847385272145144,0.23703703703703705,0.3224181360201511,0.5359056806002144,0.2740740740740741,0.37659033078880405,0.3914728682170543,0.4,0.43902439024390244,0.7616361071932299,0.4925925925925926,0.30296127562642367,34.541088819503784
StackingClassifier,1,33,0.5180555555555556,0.9263888888888889,0.5081280431564138,0.9504373177842567,0.48333333333333334,0.5337423312883436,0.867816091954023,0.4666666666666667,0.5,0.9057591623036649,0.7,0.6237623762376238,0.9809264305177112,0.4222222222222222,0.40641711229946526,2715.923295259476
XGBoost,3,35,0.5564814814814815,0.7847222222222222,0.5430922542817801,0.8933002481389578,0.6092592592592593,0.49177877428998507,0.7255075022065313,0.5703703703703704,0.5193929173693086,0.6806083650190115,0.6759259259259259,0.712890625,0.8336933045356372,0.37037037037037035,0.5181347150259067,290.2425096035004
StackingClassifier,3,37,0.5472222222222223,0.9657407407407408,0.5399541330080289,0.9849624060150376,0.5296296296296297,0.5458015267175572,0.9529190207156308,0.512962962962963,0.5306513409961686,0.9467889908256881,0.6981481481481482,0.6854545454545454,0.9782608695652174,0.44814814814814813,0.42907801418439717,1815.0580084323883
CatBoost,4,42,0.5666666666666667,0.9055555555555554,0.5588227440169199,0.9587217043941412,0.5666666666666667,0.5217391304347826,0.8826291079812206,0.5597222222222222,0.522697795071336,0.8525280898876405,0.7027777777777777,0.71875,0.9277736411020104,0.4375,0.5056179775280899,28.34265923500061
CatBoost,1,41,0.5416666666666666,0.9333333333333333,0.5330473606052888,0.9473684210526316,0.5611111111111111,0.505,0.903954802259887,0.5277777777777778,0.5459770114942529,0.9222222222222223,0.6722222222222223,0.6722222222222223,0.9595375722543353,0.40555555555555556,0.4397590361445783,121.38090348243712
VotingClassifier,1,37,0.5486111111111112,0.9305555555555555,0.5384499321605125,0.9523809523809523,0.5888888888888889,0.5353535353535354,0.902506963788301,0.5222222222222223,0.5251396648044693,0.9106145251396648,0.6833333333333333,0.6910112359550562,0.9565217391304348,0.4,0.43636363636363634,182.57111353874205
MLP,2,17,0.37430555555555556,0.9076388888888889,0.36941422257633755,0.9504373177842567,0.3416666666666667,0.3773006134969325,0.8856088560885608,0.4638888888888889,0.3686534216335541,0.8587731811697575,0.39166666666666666,0.41348973607038125,0.9411764705882353,0.3,0.3375,20.64032220840454
VotingClassifier,2,45,0.5576388888888889,0.8194444444444444,0.5457483182629708,0.8759124087591241,0.6472222222222223,0.5043290043290043,0.7298444130127298,0.5055555555555555,0.5244956772334294,0.7742857142857144,0.6777777777777778,0.7176470588235294,0.8940092165898618,0.4,0.4948453608247423,167.02212392489116
StackingClassifier,4,39,0.5479166666666667,0.9722222222222223,0.53907758021427,0.9965156794425087,0.5208333333333334,0.5244755244755245,0.9469862018881626,0.4736111111111111,0.5190258751902588,0.9500333111259162,0.725,0.6683738796414853,0.9951624049758121,0.4722222222222222,0.4676753782668501,1804.200556755066
VotingClassifier,2,35,0.5458333333333333,0.7833333333333333,0.5332549478672847,0.8791208791208792,0.6305555555555555,0.49455337690631807,0.7016129032258064,0.5194444444444445,0.4869791666666667,0.6899563318777292,0.6583333333333333,0.7247706422018348,0.8571428571428571,0.375,0.5,399.8317216475805
VotingClassifier,3,41,0.5537037037037037,0.7972222222222223,0.5417714802839471,0.878048780487805,0.6444444444444445,0.5043478260869565,0.7129798903107861,0.5185185185185185,0.5054151624548736,0.7230769230769231,0.662962962962963,0.716,0.8702928870292888,0.3888888888888889,0.5048076923076923,96.01930321057638
StackingClassifier,1,50,0.5694444444444444,0.9402777777777779,0.5572375460225583,0.9772727272727273,0.5611111111111111,0.5872093023255814,0.9600000000000001,0.5777777777777777,0.5333333333333333,0.9081364829396326,0.7333333333333333,0.6567164179104478,0.9156626506024096,0.40555555555555556,0.48026315789473684,2030.3996098041532
VotingClassifier,4,37,0.5413194444444445,0.8149305555555556,0.5323371069323725,0.8910891089108911,0.6083333333333333,0.4888392857142857,0.7371273712737126,0.4861111111111111,0.46296296296296297,0.7399854333576111,0.6583333333333333,0.7258805513016845,0.888030888030888,0.4125,0.5165217391304348,175.89059476852418
VotingClassifier,4,45,0.5461805555555556,0.7923611111111111,0.5337805569121838,0.8685162846803378,0.6319444444444444,0.48507462686567165,0.6991643454038997,0.5055555555555555,0.5083798882681564,0.7270114942528736,0.6652777777777777,0.7127976190476191,0.869701726844584,0.3819444444444444,0.4963898916967509,184.8067640622457
VotingClassifier,3,39,0.5509259259259259,0.8236111111111111,0.5399696272962761,0.8947804473902237,0.6148148148148148,0.49775112443778113,0.7536496350364964,0.5333333333333333,0.5179856115107914,0.7576335877862594,0.6666666666666666,0.7086614173228346,0.8854489164086687,0.3888888888888889,0.48951048951048953,97.6505494594574
VotingClassifier,4,41,0.5416666666666666,0.790625,0.5286723583346086,0.8674698795180723,0.6263888888888889,0.4797872340425532,0.6963788300835654,0.4847222222222222,0.48743016759776536,0.7246585190510424,0.6736111111111112,0.7228017883755589,0.868813825608798,0.3819444444444444,0.4972875226039783,183.09448877970377
VotingClassifier,3,37,0.5462962962962963,0.7763888888888889,0.5326335878416597,0.8612440191387559,0.6425925925925926,0.48599439775910364,0.6777777777777778,0.512962962962963,0.512962962962963,0.7031700288184438,0.6592592592592592,0.7105788423153693,0.8571428571428571,0.37037037037037035,0.49382716049382713,101.0340957959493
KNN,2,5,0.3034722222222222,0.7097222222222221,0.2889405010499889,0.8044692737430167,0.4722222222222222,0.3177570093457944,0.5196629213483146,0.2611111111111111,0.26704545454545453,0.6136724960254372,0.275,0.3680297397769517,0.8819875776397516,0.20555555555555555,0.2605633802816901,0.1683547496795654
