Model,Window,K,Time(s)
TabNet,1,37,154.15017104148865
HistGradientBoosting,1,38,140.74039673805237
CatBoost,1,41,121.38090348243713
ExtraTrees,1,43,4.817172527313232
Random Forest,1,39,43.020705699920654
StackingClassifier,1,33,2715.9232952594757
XGBoost,1,44,1139.8242359161377
KNN,1,8,0.06472969055175781
AdaBoost,1,37,26.27455759048462
MLP,1,31,4.230090618133545
GaussianNB,1,28,0.05113863945007324
SVM,1,44,8.805782318115234
HistGradientBoosting,4,38,42.888927936553955
CatBoost,4,42,28.34265923500061
ExtraTrees,4,28,9.198397159576416
Random Forest,4,38,107.12801551818848
XGBoost,4,41,17.14724564552307
KNN,4,8,0.3685643672943115
AdaBoost,4,38,53.7346293926239
MLP,4,12,124.19821763038635
GaussianNB,4,22,0.12259149551391602
SVM,4,50,70.17713117599487
TabNet,4,32,700.8568601608276
HistGradientBoosting,3,33,67.69179153442383
CatBoost,3,35,36.6662859916687
ExtraTrees,3,38,8.461080312728882
Random Forest,3,38,84.05130457878113
XGBoost,3,35,290.24250960350037
KNN,3,5,0.3991837501525879
AdaBoost,3,35,52.302640438079834
MLP,3,29,34.541088819503784
GaussianNB,3,25,0.07581830024719238
SVM,3,46,40.35493350028992
TabNet,3,37,826.2495849132538
HistGradientBoosting,2,33,128.5950357913971
CatBoost,2,41,35.61698079109192
ExtraTrees,2,36,12.44183897972107
Random Forest,2,39,60.90758490562439
XGBoost,2,35,189.49522924423218
KNN,2,5,0.16835474967956543
AdaBoost,2,38,40.46292042732239
MLP,2,17,20.64032220840454
GaussianNB,2,28,0.0804901123046875
SVM,2,39,22.586230039596558
TabNet,2,30,364.58452463150024
StackingClassifier,1,33,4198.898498535156
StackingClassifier,1,35,1572.7871522903442
StackingClassifier,1,37,1649.0986852645874
StackingClassifier,1,39,1726.7285833358765
StackingClassifier,1,41,1809.676087141037
StackingClassifier,1,43,1839.667094707489
StackingClassifier,1,45,1871.0420768260956
StackingClassifier,1,50,2030.3996098041534
StackingClassifier,4,33,1412.8917951583862
StackingClassifier,4,35,1524.4373779296875
StackingClassifier,4,37,1667.5844962596893
StackingClassifier,4,39,1804.200556755066
StackingClassifier,4,41,2891.9977974891663
VotingClassifier,1,33,7.791582442124684
StackingClassifier,4,43,4197.997304201126
StackingClassifier,4,45,4074.404242515564
VotingClassifier,1,33,88.43520027796427
VotingClassifier,3,33,118.13559285004933
VotingClassifier,1,35,188.9251003821691
StackingClassifier,4,50,7781.786464929581
VotingClassifier,3,35,95.06615389188131
VotingClassifier,3,37,101.0340957959493
VotingClassifier,1,37,182.57111353874205
VotingClassifier,3,39,97.6505494594574
VotingClassifier,3,41,96.01930321057638
VotingClassifier,1,39,171.94279844760894
VotingClassifier,3,43,96.3470408598582
